word,count_hi,count_lo,log_odds
wrong,582,160,-0.6447218901703833
lettuce,108,29,-0.6413542109694248
almost,217,59,-0.6413542109694248
half,523,143,-0.6398263267913711
discount,116,31,-0.635066679538383
bartender,138,37,-0.6346169381321065
came,449,122,-0.6344414841444657
okay,160,43,-0.6342899804702107
getting,402,109,-0.6330485153821463
long,818,222,-0.6305923991434623
usually,216,58,-0.6291448019016732
save,183,49,-0.6285919593555729
head,95,25,-0.6252530580900579
accept,84,22,-0.6243476709752454
snack,118,31,-0.6181171212246106
sorry,126,33,-0.6136781496939836
convenient,74,19,-0.6097488715540944
school,119,31,-0.6097488715540944
slice,108,28,-0.6074526592937435
literally,127,33,-0.6058349722329588
morning,263,69,-0.6040508504394557
star,233,61,-0.6033179812238023
years,271,71,-0.6023687642564708
topping,86,22,-0.6010908088109783
tell,200,52,-0.598491717029459
bill,94,24,-0.5965036448040735
slices,83,21,-0.591730366051415
update,76,19,-0.5834315632367204
nothing,419,108,-0.5825978824881428
talk,84,21,-0.5798959084044117
matter,88,22,-0.5783625577334224
bagel,170,43,-0.5740307889520135
could,520,133,-0.5735944697339574
salty,143,36,-0.5726093246046373
months,77,19,-0.5705281584008137
changed,97,24,-0.565413057734041
entrance,66,16,-0.5600254362016646
goes,102,25,-0.5548722613282582
ayce,126,31,-0.5530535278775481
longer,226,56,-0.5496059618895606
going,675,168,-0.5452103504165224
times,529,131,-0.5414296275766164
god,124,30,-0.5371781787192589
line,640,157,-0.5310702876427094
menus,68,16,-0.5306115509953706
thought,129,31,-0.529706163880558
last,472,115,-0.5259995141508451
think,433,105,-0.5218992715480759
seriously,245,59,-0.5205177378261512
tax,73,17,-0.5178113762284084
drove,73,17,-0.5178113762284084
meals,168,40,-0.5151780633176477
pickles,65,15,-0.5144386917497688
kept,65,15,-0.5144386917497688
together,98,23,-0.5144386917497688
need,738,178,-0.5135925964289658
hand,156,37,-0.5128450659144903
chance,90,21,-0.5116876583778787
anyone,148,35,-0.511077344047064
better,1376,331,-0.508977181724247
aren't,111,26,-0.5088427062456464
groupon,82,19,-0.5083963772938063
closed,1505,359,-0.5003963346267293
behind,196,46,-0.49844858450848406
vanilla,129,30,-0.4979574655659782
deep,104,24,-0.4964201862470894
fill,71,16,-0.488051936576575
drink,815,191,-0.48458572860008786
tastes,301,70,-0.4837575712028581
know,710,166,-0.48282609414992717
pretty,898,210,-0.482079810540859
less,221,51,-0.4800710482455619
want,983,229,-0.47795812340735466
gonna,119,27,-0.47621747892957167
